P	$Q1$	$Q2$	$Q3$
109	32.77777777777778	32.77677777777778	29.645901602197505
110	32.77777777777778	32.77677777777778	29.679786108335573
111	32.77777777777778	32.77677777777778	29.712686523649367
112	32.77777777777778	32.77677777777778	29.744631513993586
113	32.77777777777778	32.77677777777778	29.77564890290629
114	32.77777777777778	32.77677777777778	29.805765696989734
115	32.77777777777778	32.77677777777778	29.83500811047169
116	32.77777777777778	32.77677777777778	29.863401588978483
117	32.77777777777778	32.77677777777778	29.89097083254929
118	32.77777777777778	32.77677777777778	29.91773981791988
119	32.77777777777778	32.77677777777778	29.943731820102535
120	32.77777777777778	32.77677777777778	29.96896943328762
121	32.77777777777778	32.77677777777778	29.993474591091154
122	32.77777777777778	32.77677777777778	30.017268586171493
123	32.77777777777778	32.77677777777778	30.040372089237295
